geneID	Coefficient of Variation	Louvain Cluster	Maximum Data Value	Mean Data Value	Minimum Data Value	Node Component Identifier	Node Degree	Node Multiplicity	Standard Deviation	Strongest Data Column	Variance
Rgs1	0.16937744652227552	Cluster 2	11.6535555753508	8.921929576693378	5.51321975943237	Component 1	12	1	1.5111736497518908	346_C_ra	2.28364579970445
Prg4		Cluster 8	6.03053241877583	2.88283095566338	-1.28673281072773	Component 1	4	1	1.852305971314943	010_L_rn_neg	3.4310374113689948
Ivns1abp	0.06909651727934381	Cluster 1	8.99533433494946	7.530881577843327	6.59657990212761	Component 1	4	1	0.5203576890721434	009_C_rn_neg	0.2707721245765015
Swt1	0.07724755908657747	Cluster 2	6.36437816525569	5.491351477433105	4.28660163319249	Component 1	2	1	0.4241934977181783	002_L_rn_pos	0.17994012350638217
Fam129a	0.09303263780135491	Cluster 3	9.04284150936151	7.875144460976275	5.96667006658386	Component 1	6	1	0.7326454622713522	4181_C_ra	0.5367693733868034
1700025G04Rik		Cluster 6	6.70605676403035	2.2668731510796585	-1.99756611253876	Component 1	5	1	1.9361831290250389	199_d12_rp	3.7488051091211907
Gm7278		Cluster 1	2.99646447371668	-0.3425953199460774	-2.7231649999368	Component 1	4	1	1.699468274436777	294_C_ra	2.888192415817117
Arpc5	0.04831301154494054	Cluster 7	8.13105695168408	7.397773804971288	6.35976275287886	Component 1	5	1	0.3574087312464365	347_L_rp	0.1277410011711875
Smg7	0.043236856150857476	Cluster 1	7.84836444472007	7.100540460690246	6.36424767788308	Component 1	4	1	0.30700504649220745	4192_C_rp	0.09425209857168247
Lamc1	0.13901091405584326	Cluster 3	9.1631634908312	7.524625589886703	4.57303678834348	Component 1	13	1	1.0460050811781394	4192_C_rp	1.0941266298504861
Gm38009		Cluster 2	4.61567573089922	1.7620397142080617	-1.80969156325112	Component 1	4	1	1.3542223973103327	4193_C_rp	1.8339183013769444
Gm8818		Cluster 1	5.70762458572284	2.825049806100831	-3.24960577124799	Component 1	4	1	1.775260289545037	4216_C_rp	3.151549095635528
Rgs16		Cluster 2	7.17666958944989	4.5041202218569545	-0.405959430056257	Component 1	6	1	1.5418052480929576	4208_L_ra	2.3771634230469862
Glul	0.07596192176000535	Cluster 1	7.04942709240093	5.9296532340308765	4.85747939594761	Component 1	4	1	0.4504278550274161	400_C_ra	0.202885252584599
